"Abraham, Ralph",RepAbraham
"Adams, Alma",RepAdams
"Aderholt, Robert",Robert_Aderholt
"Aguilar, Pete",RepPeteAguilar
"Alexander, Lamar",SenAlexander
"Allen, Rick",RepRickAllen
"Allred, Colin",RepColinAllred
"Amash, Justin",justinamash
"Amodei, Mark",MarkAmodeiNV2
"Armstrong, Kelly",RepArmstrongND
"Arrington, Jodey",JodeyArrington
"Axne, Cynthia",RepCindyAxne
"Babin, Brian",RepBrianBabin
"Bacon, Don",DonBacon2016
"Baird, James",RepJimBaird
"Balderson, Troy",RepBalderson
"Baldwin, Tammy",SenatorBaldwin
"Banks, Jim",Jim_Banks
"Barr, Andy",RepAndyBarr
"Barragan, Nanette",Nanette4CA
"Barrasso, John",SenJohnBarrasso
"Bass, Karen",RepKarenBass
"Beatty, Joyce",RepBeatty
"Bennet, Michael",SenBennetCO
"Bera, Ami",RepBera
"Bergman, Jack",JackBergman_MI1
"Beyer, Don",RepDonBeyer
"Biggs, Andy",AndyBiggs4AZ
"Bilirakis, Gus",RepGusBilirakis
"Bishop, Rob",RepHalRogers
"Bishop, Sanford",SanfordBishop
"Blumenauer, Earl",repblumenauer
"Blumenthal, Richard",SenBlumenthal
"Blunt Rochester, Lisa",LisaBRochester
"Blunt, Roy",RoyBlunt
"Bonamici, Suzanne",RepBonamici
"Booker, Cory",CoryBooker
"Boozman, John",JohnBoozman
"Bost, Mike",RepBost
"Boyle, Brendan",CongBoyle
"Brady, Kevin",RepKevinBrady
"Brindisi, Anthony",RepBrindisi
"Brooks, Mo",RepMoBrooks
"Brooks, Susan",SusanWBrooks
"Brown, Anthony",BrownforMD
"Brown, Sherrod",SenSherrodBrown
"Brownley, Julia",JuliaBrownley26
"Buchanan, Vern",VernBuchanan
"Buck, Ken",RepKenBuck
"Bucshon, Larry",RepLarryBucshon
"Budd, Ted",BuddforCongress
"Burchett, Tim",RepTimBurchett
"Burgess, Michael",michaelcburgess
"Burr, Richard",SenatorBurr
"Bustos, Cheri",RepCheri
"Butterfield, G K",GKButterfield
"Byrne, Bradley",RepByrne
"Calvert, Ken",KenCalvert
"Cantwell, Maria",SenatorCantwell
"Capito, Shelley Moore",SenCapito
"Carbajal, Salud",CarbajalSalud
"Cardin, Ben",SenatorCardin
"Carper, Tom",SenatorCarper
"Carson, André",RepAndreCarson
"Carter, Buddy",RepBuddyCarter
"Carter, John",JudgeCarter
"Cartwright, Matt",RepCartwright
"Case, Ed",RepEdCase
"Casey, Bob",SenBobCasey
"Cassidy, Bill",BillCassidy
"Casten, Sean",RepCasten
"Castor, Kathy",USRepKCastor
"Castro, Joaquin",JoaquinCastrotx
"Chabot, Steve",RepSteveChabot
"Cheney, Liz",Liz_Cheney
"Chu, Judy",RepJudyChu
"Cicilline, David",RepCicilline
"Cisneros, Gilbert Ray Jr.",RepGilCisneros
"Clark, Katherine",RepKClark
"Clarke, Yvette",YvetteClarke
"Clay Jr., William",LacyClayMO1
"Cleaver, Emanuel",repcleaver
"Cline, Ben",RepBenCline
"Cloud, Michael",RepCloudTX
"Clyburn, James E",Clyburn
"Cohen, Steve",RepCohen
"Cole, Tom",TomColeOK04
"Collins, Chris",RepChrisCollins
"Collins, Doug",RepDougCollins
"Collins, Susan",SenatorCollins
"Comer, James",KYComer
"Conaway, Mike",ConawayTX11
"Connolly, Gerald",GerryConnolly
"Cook, Paul",RepPaulCook
"Coons, Chris",ChrisCoons
"Cooper, Jim",repjimcooper
"Corker, Bob",BobCorker
"Cornyn, John",JohnCornyn
"Correa, Lou",LouCorreaCA
"Cortez Masto, Catherine",SenCortezMasto
"Costa, Jim",RepJimCosta
"Cotton, Tom",SenTomCotton
"Courtney, Joe",RepJoeCourtney
"Cox, TJ",RepTJCox
"Craig, Angie",RepAngieCraig
"Crapo, Mike",MikeCrapo
"Crawford, Rick",RepRickCrawford
"Crenshaw, Dan",RepDanCrenshaw
"Crist, Charlie",CharlieCrist
"Crow, Jason",RepJasonCrow
"Cruz, Ted",SenTedCruz
"Cuellar, Henry",RepCuellar
"Cummings, Elijah",RepCummings
"Cunningham, Joe",RepCunningham
"Curtis, John",RepJohnCurtis
"Cárdenas, Tony",RepCardenas
"Daines, Steve",SteveDaines
"Davids, Sharice",RepDavids
"Davidson, Warren",WarrenDavidson
"Davis, Danny K.",RepDannyDavis
"Davis, Rodney",RodneyDavis
"Davis, Susan",RepSusanDavis
"DeFazio, Peter",RepPeterDeFazio
"DeGette, Diana",RepDianaDeGette
"DeLauro, Rosa L",rosadelauro
"DeSaulnier, Mark",RepDeSaulnier
"Dean, Madeleine",RepDean
"DelBene, Suzan",RepDelBene
"Delgado, Antonio",RepDelgado
"Demings, Val",Val_Demings
"DesJarlais, Scott",DesJarlaisTN04
"Deutch, Ted",RepTedDeutch
"Diaz-Balart, Mario",MarioDB
"Dingell, Debbie",RepDebDingell
"Doggett, Lloyd",RepLloydDoggett
"Donnelly, Joe",SenDonnelly
"Doyle, Michael",USRepMikeDoyle
"Duckworth, Tammy",SenDuckworth
"Duffy, Sean P",RepSeanDuffy
"Duncan, Jeff",RepJeffDuncan
"Dunn, Neal",DrNealDunn
"Durbin, Dick",SenatorDurbin
"Emmer, Tom",RepTomEmmer
"Engel, Eliot",RepEliotEngel
"Enzi, Mike",SenatorEnzi
"Ernst, Joni",joniernst
"Escobar, Veronica",RepEscobar
"Eshoo, Anna",RepAnnaEshoo
"Espaillat, Adriano",EspaillatNY
"Estes, Ron",RepRonEstes
"Evans, Dwight",RepDwightEvans
"Feinstein, Dianne",SenFeinstein
"Ferguson, Drew",DrewFergusonGA
"Finkenauer, Abby",RepFinkenauer
"Fischer, Deb",SenatorFischer
"Fitzpatrick, Brady",RepBrianFitz
"Flake, Jeff",JeffFlake
"Fleischmann, Chuck",RepChuck
"Fletcher, Lizzie",RepFletcher
"Flores, Bill",RepBillFlores
"Fortenberry, Jeff",JeffFortenberry
"Foster, Bill",RepBillFoster
"Foxx, Virginia",virginiafoxx
"Frankel, Lois",RepLoisFrankel
"Fudge, Marcia",RepMarciaFudge
"Fulcher, Russ",RepRussFulcher
"Gabbard, Tulsi",TulsiPress
"Gaetz, Matt",MattGaetz
"Gallagher, Mike",MikeforWI
"Gallego, Ruben",RepRubenGallego
"Garamendi, John",RepGaramendi
"Garcia, Jesus",RepChuyGarcia
"Garcia, Sylvia",RepSylviaGarcia
"Gardner, Cory",SenCoryGardner
"Gianforte, Greg",#VALUE!
"Gibbs, Bob",RepBobGibbs
"Gillibrand, Kirsten",SenGillibrand
"Gohmert, Louie",replouiegohmert
"Golden, Jared",RepGolden
"Gomez, Jimmy",RepJimmyGomez
"Gonzalez, Anthony",RepAGonzalez
"Gonzalez, Vincente",VoteVincente
"Gonzalez-Colon, Jenniffer",Jenniffer2012
"Gooden, Lance",RepLanceGooden
"Gosar, Paul",RepGosar
"Gottheimer, Josh",JoshGottheimer
"Graham, Lindsey",GrahamBlog
"Granger, Kay",RepKayGranger
"Grassley, Chuck",ChuckGrassley
"Graves, Garret",RepGarretGraves
"Graves, Sam",RepSamGraves
"Graves, Tom",RepTomGraves
"Green, Al",RepAlGreen
"Green, Mark",RepMarkGreen
"Griffith, Morgan",RepMGriffith
"Grijalva, Raul",RepRaulGrijalva
"Grothman, Glenn",RepGrothman
"Guest, Michael",RepMichaelGuest
"Guthrie, Brett",RepGuthrie
"Haaland, Debra",RepDebHaaland
"Hagedorn, Jim",RepHagedorn
"Harder, Josh",RepJoshHarder
"Harris, Andy",RepAndyHarrisMD
"Harris, Kamala",SenKamalaHarris
"Hartzler, Vicky",RepHartzler
"Hassan, Maggie",SenatorHassan
"Hastings, Alcee",RepHastingsFL
"Hatch, Orrin",SenOrrinHatch
"Hayes, Jahana",RepJahanaHayes
"Heck, Denny",RepDennyHeck
"Heinrich, Martin",MartinHeinrich
"Heitkamp, Heidi",SenatorHeitkamp
"Heller, Dean",SenDeanHeller
"Hern, Kevin",RepKevinHern
"Herrera Beutler, Jaime",HerreraBeutler
"Hice, Jody",CongressmanHice
"Higgins, Brian",RepBrianHiggins
"Higgins, Clay",CaptClayHIggins
"Hill, French",RepFrenchHill
"Hill, Katie",RepKatieHill
"Himes, Jim",jahimes
"Hirono, Mazie",maziehirono
"Hoeven, John",SenJohnHoeven
"Holding, George",GeorgeHolding
"Hollingsworth, Trey",VoteForTrey
"Horn, Kendra",RepKendraHorn
"Horsford, Steven",RepHorsford
"Houlahan, Chrissy",RepHoulahan
"Hoyer, Steny H",WhipHoyer
"Hudson, Richard",RepRichHudson
"Huffman, Jared",RepHuffman
"Huizenga, Bill",RepHuizenga
"Hunter, Duncan D",Rep_Hunter
"Hurd, Will",HurdOnTheHill
"Hyde-Smith, Cindy",SenHydeSmith
"Inhofe, Jim",jiminhofe
"Isakson, Johnny",SenatorIsakson
