"Clinton, Hillary (D)",Pres,"$119,452"
"Kaine, Tim (D-VA)",Senate,"$36,500"
"Throne-Holst, Anna (D-NY)",House,"$32,400"
"Maloney, Sean Patrick (D-NY)",House,"$21,600"
"Gottheimer, Josh (D-NJ)",House,"$12,207"
"Lowey, Nita M (D-NY)",House,"$10,800"
"Warner, Mark (D-VA)",Senate,"$10,800"
"Moulton, Seth (D-MA)",House,"$10,500"
"Sanders, Bernie (D-VT)",Senate,"$9,710"
"Bush, Jeb (R)",Pres,"$9,100"
"Wyden, Ron (D-OR)",Senate,"$8,200"
"McGinty, Katie (D-PA)",Senate,"$6,779"
"Crowley, Joseph (D-NY)",House,"$6,610"
"Heaney, Andrew (R-NY)",House,"$5,925"
"Bennet, Michael F (D-CO)",Senate,"$5,600"
"Hassan, Maggie (D-NH)",Senate,"$5,512"
"Van Hollen, Chris (D-MD)",House,"$5,450"
"Booker, Cory (D-NJ)",Senate,"$5,400"
"Donovan, Dan (R-NY)",House,"$5,400"
"Kennedy, Joe III (D-MA)",House,"$5,400"
"Kirk, Mark (R-IL)",Senate,"$5,400"
"Feingold, Russ (D-WI)",Senate,"$4,504"
"Trump, Donald (R)",Pres,"$4,098"
"Harris, Kamala D (D-CA)",Senate,"$3,700"
"O'Malley, Martin (D)",Pres,"$3,700"
"Blumenthal, Richard (D-CT)",Senate,"$3,200"
"Schumer, Charles E (D-NY)",Senate,"$2,900"
"Bayh, Evan (D-IN)",Senate,"$2,750"
"King, Pete (R-NY)",House,"$2,700"
"McCain, John (R-AZ)",Senate,"$2,700"
"Toomey, Pat (R-PA)",Senate,"$2,700"
"Nadler, Jerrold (D-NY)",House,"$2,000"
"Schumer, Charles E (D-NY)",Senate,"$41,600"
"Booker, Cory (D-NJ)",Senate,"$21,300"
"Markey, Ed (D-MA)",Senate,"$10,400"
"Warner, Mark (D-VA)",Senate,"$10,400"
"Bennet, Michael F (D-CO)",Senate,"$5,200"
"Schatz, Brian (D-HI)",Senate,"$5,200"
"Udall, Mark (D-CO)",Senate,"$5,200"
"Hagan, Kay R (D-NC)",Senate,"$2,600"
"Landrieu, Mary L (D-LA)",Senate,"$2,600"
"Begich, Mark (D-AK)",Senate,"$2,000"
"Merkley, Jeff (D-OR)",Senate,"$2,000"
"Collins, Susan M (R-ME)",Senate,"$7,800"
"Gillibrand, Kirsten (D-NY)",Senate,"$13,250"
"Stabenow, Debbie (D-MI)",Senate,"$12,500"
"Warner, Mark (D-VA)",Senate,"$10,000"
"Franken, Al (D-MN)",Senate,"$6,000"
"Klobuchar, Amy (D-MN)",Senate,"$6,000"
"McCaskill, Claire (D-MO)",Senate,"$2,800"
"Cardin, Ben (D-MD)",Senate,"$2,500"
"Tester, Jon (D-MT)",Senate,"$2,000"
