"Byrne, Bradley",RepByrne
"Roby, Martha",RepMarthaRoby
"Rogers, Mike",RepMikeRogersAL
"Aderholt, Robert",Robert_Aderholt
"Brooks, Mo",RepMoBrooks
"Palmer, Gary",USRepGaryPalmer
"Sewell, Terri A",RepTerriSewell
"Young, Don",repdonyoung
"Radewagen, Amata",RepAmata
"O’Halleran, Tom",TomOHalleran
"Kirkpatrick, Ann",RepKirkPatrick
"Grijalva, Raul",RepRaulGrijalva
"Gosar, Paul",RepGosar
"Biggs, Andy",AndyBiggs4AZ
"Schweikert, David",RepDavid
"Gallego, Ruben",RepRubenGallego
"Lesko, Debbie",RepDLesko
"Stanton, Greg",RepGregStanton
"Crawford, Rick",RepRickCrawford
"Hill, French",RepFrenchHill
"Womack, Steve",rep_stevewomack
"Westerman, Bruce",RepWesterman
"Harder, Josh",RepJoshHarder
"DeSaulnier, Mark",RepDeSaulnier
"Pelosi, Nancy",NancyPelosi
"Lee, Barbara",RepBarbaraLee
"Speier, Jackie",RepSpeier
"Swalwell, Eric",RepSwalwell
"Costa, Jim",RepJimCosta
"Khanna, Ro",RoKhannaUSA
"Eshoo, Anna",RepAnnaEshoo
"Lofgren, Zoe",RepZoeLofgren
"LaMalfa, Doug",RepLaMalfa
"Panetta, Jimmy",JimmyPanetta
"Cox, TJ",RepTJCox
"Nunes, Devin",Rep_DevinNunes
"McCarthy, Kevin",GOPLeader
"Carbajal, Salud",CarbajalSalud
"Hill, Katie",RepKatieHill
"Brownley, Julia",JuliaBrownley26
"Chu, Judy",RepJudyChu
"Schiff, Adam",RepAdamSchiff
"Cárdenas, Tony",RepCardenas
"Huffman, Jared",RepHuffman
"Sherman, Brad",BradSherman
"Aguilar, Pete",RepPeteAguilar
"Napolitano, Grace",gracenapolitano
"Lieu, Ted",RepTedLieu
"Gomez, Jimmy",RepJimmyGomez
"Torres, Norma",NormaJTorres
"Ruiz, Raul",CongressmanRuiz
"Bass, Karen",RepKarenBass
"Sánchez, Linda",RepLindaSanchez
"Cisneros, Gilbert Ray Jr.",RepGilCisneros
"Garamendi, John",RepGaramendi
"Roybal-Allard, Lucille",RepRoybalAllard
"Takano, Mark",RepMarkTakano
"Calvert, Ken",KenCalvert
"Waters, Maxine",MaxineWaters
"Barragan, Nanette",Nanette4CA
"Porter, Katie",RepKatiePorter
"Correa, Lou",LouCorreaCA
"Lowenthal, Alan",RepLowenthal
"Rouda, Harley",RepHarley
"Levin, Mike",RepMikeLevin
"McClintock, Tom",RepMcClintock
"Hunter, Duncan D",Rep_Hunter
"Vargas, Juan",RepJuanVargas
"Peters, Scott",RepScottPeters
"Davis, Susan",RepSusanDavis
"Thompson, Mike",RepThompson
"Matsui, Doris O",DorisMatsui
"Bera, Ami",RepBera
"Cook, Paul",RepPaulCook
"McNerney, Jerry",RepMcNerney
"DeGette, Diana",RepDianaDeGette
"Neguse, Joe",RepJoeNeguse
"Tipton, Scott",RepTipton
"Buck, Ken",RepKenBuck
"Lamborn, Doug",RepDLamborn
"Crow, Jason",RepJasonCrow
"Perlmutter, Ed",RepPerlmutter
"Larson, John B",RepJohnLarson
"Courtney, Joe",RepJoeCourtney
"DeLauro, Rosa L",rosadelauro
"Himes, Jim",jahimes
"Hayes, Jahana",RepJahanaHayes
"Blunt Rochester, Lisa",LisaBRochester
"Norton, Eleanor",EleanorNorton
"Demings, Val",Val_Demings
"Webster, Daniel",RepWebster
"Bilirakis, Gus",RepGusBilirakis
"Crist, Charlie",CharlieCrist
"Castor, Kathy",USRepKCastor
"Spano, Ross",RepRossSpano
"Buchanan, Vern",VernBuchanan
"Steube, W. Gregory",RepGregSteube
"Mast, Brian",BrianMastFL
"Rooney, Francis",FrancisRooney
"Gaetz, Matt",MattGaetz
"Hastings, Alcee",RepHastingsFL
"Frankel, Lois",RepLoisFrankel
"Deutch, Ted",RepTedDeutch
"Wasserman Schultz, Debbie",RepDWStweets
"Wilson, Frederica",RepWilson
"Diaz-Balart, Mario",MarioDB
"Mucarsel-Powell, Debbie",RepDMP
"Shalala, Donna",RepShalala
"Dunn, Neal",DrNealDunn
"Yoho, Ted",RepTedYoho
"Rutherford, John",JRutherfordFL
"Lawson, Al",AlLawsonJr
"Waltz, Michael",RepMichaelWaltz
"Murphy, Stephanie",SMurphyCongress
"Posey, Bill",congbillposey
"Soto, Darren",USRepDarrenSoto
"Hice, Jody",CongressmanHice
"Loudermilk, Barry",RepLoudermilk
"Allen, Rick",RepRickAllen
"Scott, David",repdavidscott
"Graves, Tom",RepTomGraves
"Carter, Buddy",RepBuddyCarter
"Bishop, Sanford",SanfordBishop
"Ferguson, Drew",DrewFergusonGA
"Johnson, Henry",RepHankJohnson
"Lewis, John",repjohnlewis
"McBath, Lucy",RepLucyMcBath
"Woodall, Robert",RepRobWoodall
"Scott, Austin",AustinScottGA08
"Collins, Doug",RepDougCollins
"San Nicolas, Michael",#VALUE!
"Case, Ed",RepEdCase
"Gabbard, Tulsi",TulsiPress
"Fulcher, Russ",RepRussFulcher
"Simpson, Mike",CongMikeSimpson
"Schneider, Bradley",RepSchneider
"Foster, Bill",RepBillFoster
"Bost, Mike",RepBost
"Davis, Rodney",RodneyDavis
"Underwood, Lauren",RepUnderwood
"Shimkus, John",RepShimkus
"Kinzinger, Adam",RepKinzinger
"Bustos, Cheri",RepCheri
"LaHood,Darin",ElectLaHood
"Rush, Bobby",RepBobbyRush
"Kelly, Robin",RepRobinKelly
"Lipinski, Daniel",RepLipinski
"Garcia, Jesus",RepChuyGarcia
"Quigley, Mike",RepMikeQuigley
"Casten, Sean",RepCasten
"Davis, Danny K.",RepDannyDavis
"Krishnamoorthi, Raja",RajaForCongress
"Schakowsky, Jan",janschakowsky
"Visclosky, Peter",RepVisclosky
"Walorski, Jackie",RepWalorski
"Banks, Jim",Jim_Banks
"Baird, James",RepJimBaird
"Brooks, Susan",SusanWBrooks
"Pence, Greg",RepGregPence
"Carson, André",RepAndreCarson
"Bucshon, Larry",RepLarryBucshon
"Hollingsworth, Trey",VoteForTrey
"Finkenauer, Abby",RepFinkenauer
"Loebsack, David",daveloebsack
"Axne, Cynthia",RepCindyAxne
"King, Steve",SteveKingIA
"Marshall, Roger",RogerMarshallMD
"Watkins, Steve",Rep_Watkins
"Davids, Sharice",RepDavids
"Estes, Ron",RepRonEstes
"Comer, James",KYComer
"Guthrie, Brett",RepGuthrie
"Yarmuth, John",RepJohnYarmuth
"Massie, Thomas",RepThomasMassie
"Rogers, Harold",RepHalRogers
"Barr, Andy",RepAndyBarr
"Scalise, Steve",SteveScalise
"Richmond, Cedric",RepRichmond
"Higgins, Clay",CaptClayHIggins
"Johnson, Mike",RepMikeJohnson
"Abraham, Ralph",RepAbraham
"Graves, Garret",RepGarretGraves
"Pingree, Chellie",chelliepingree
"Golden, Jared",RepGolden
"Harris, Andy",RepAndyHarrisMD
"Ruppersberger, C. A. Dutch",Call_Me_Dutch
"Sarbanes, John",RepSarbanes
"Brown, Anthony",BrownforMD
"Hoyer, Steny H",WhipHoyer
"Trone, David",RepDavidTrone
"Cummings, Elijah",RepCummings
"Raskin, Jamie",Jamie_Raskin
"Neal, Richard E.",RepRichardNeal
"McGovern, James",RepMcGovern
"Trahan, Lori",RepLoriTrahan
"Kennedy, Joe III",RepJoeKennedy
"Clark, Katherine",RepKClark
"Moulton, Seth",teammoulton
"Pressley, Ayanna",RepPressley
"Lynch, Stephen",RepStephenLynch
"Keating, William",USRepKeating
"Mitchell, Paul",PaulMitchell4us
"Stevens, Haley",RepHaleyStevens
"Dingell, Debbie",RepDebDingell
"Tlaib, Rashida",RepRashida
"Lawrence, Brenda",RepLawrence
"Bergman, Jack",JackBergman_MI1
"Huizenga, Bill",RepHuizenga
"Amash, Justin",justinamash
"Moolenaar, John",RepMoolenaar
"Kildee, Daniel",RepDanKildee
"Upton, Fred",RepFredUpton
"Walberg, Tim",RepWalberg
"Slotkin, Elissa",HouseDemocrats
"Levin, Sander",repsandylevin
"Hagedorn, Jim",RepHagedorn
"Craig, Angie",RepAngieCraig
"Phillips, Dean",RepDeanPhillips
"McCollum, Betty",BettyMcCollum04
"Omar, Ilhan",Ilhan
"Emmer, Tom",RepTomEmmer
"Peterson, Collin",collinpeterson
"Stauber, Pete",RepPeteStauber
"Kelly, Trent",RepTrentKelly
"Thompson, Bennie",BennieGThompson
"Guest, Michael",RepMichaelGuest
"Palazzo, Steven",CongPalazzo
"Clay Jr., William",LacyClayMO1
"Wagner, Ann",RepAnnWagner
"Luetkemeyer, Blaine",RepBlainePress
"Hartzler, Vicky",RepHartzler
"Cleaver, Emanuel",repcleaver
"Graves, Sam",RepSamGraves
"Long, Billy",USRepLong
"Smith, Jason",RepJasonSmith
"Gianforte, Greg",#VALUE!
"Fortenberry, Jeff",JeffFortenberry
"Bacon, Don",DonBacon2016
"Smith, Adrian",RepAdrianSmith
"Titus, Dina",repdinatitus
"Amodei, Mark",MarkAmodeiNV2
"Lee, Susie",RepSusieLee
"Horsford, Steven",RepHorsford
"Pappas, Chris",RepChrisPappas
"Kuster, Ann",RepAnnieKuster
"Payne Jr., Donald",RepDonaldPayne
"Sherrill, Mikie",RepSherrill
"Watson Coleman, Bonnie",RepBWColeman
"Norcross, Donald",DonNorcross4NJ
"Van Drew, Jefferson",JeffVanDrew
"Kim, Andy",RepAndyKimNJ
"Smith, Chris",RepChrisSmith
"Gottheimer, Josh",JoshGottheimer
"Pallone, Frank Jr",FrankPallone
"Malinowski, Tom",RepMalinowski
"Sires, Albio",RepSires
"Pascrell Jr., Bill",BillPascrell
"Haaland, Debra",RepDebHaaland
"Torres Small, Xochiti",RepTorresSmall
"Lujan, Ben R",repbenraylujan
"Nadler, Jerrold",RepJerryNadler
"Rose, Max",RepMaxRose
"Maloney, Carolyn",RepMaloney
"Espaillat, Adriano",EspaillatNY
"Ocasio-Cortez, Alexandria",RepAOC
"Serrano, José",RepJoseSerrano
"Engel, Eliot",RepEliotEngel
"Lowey, Nita",NitaLowey
"Maloney, Sean Patrick",RepSeanMaloney
"Delgado, Antonio",RepDelgado
"Zeldin, Lee",RepLeeZeldin
"Tonko, Paul D.",RepPaulTonko
"Stefanik, Elise",RepStefanik
"Brindisi, Anthony",RepBrindisi
"Reed, Tom",RepTomReed
"Katko, John",RepJohnKatko
"Morelle, Joseph",RepJoeMorelle
"Higgins, Brian",RepBrianHiggins
"Collins, Chris",RepChrisCollins
"King, Pete",RepPeteKing
"Suozzi, Tom",Tom_Suozzi
"Rice, Kathleen",RepKathleenRice
"Meeks, Gregory",GregoryMeeks
"Meng, Grace",RepGraceMeng
"Velázquez, Nydia",NydiaVelazquez
"Jeffries, Hakeem",RepJeffries
"Clarke, Yvette",YvetteClarke
"McHenry, Patrick",PatrickMcHenry
"Meadows, Mark",RepMarkMeadows
"Adams, Alma",RepAdams
"Budd, Ted",BuddforCongress
"Butterfield, G K",GKButterfield
"Holding, George",GeorgeHolding
"Jones, Walter",RepWalterJones
"Price, David",RepDavidEPrice
"Foxx, Virginia",virginiafoxx
"Walker, Mark",RepMarkWalker
"Rouzer, David",RepDavidRouzer
"Hudson, Richard",RepRichHudson
"Pittenger, Robert",reppittenger
"Armstrong, Kelly",RepArmstrongND
"Sablan, Gregorio",#VALUE!
"Turner, Michael",RepMikeTurner
"Fudge, Marcia L.",RepMarciaFudge
"Balderson, Troy",RepBalderson
"Ryan, Tim",RepTimRyan
"Joyce, David",RepDaveJoyce
"Stivers, Steve",RepSteveStivers
"Gonzalez, Anthony",RepAGonzalez
"Chabot, Steve",RepSteveChabot
"Wenstrup, Brad",RepBradWenstrup
"Beatty, Joyce",RepBeatty
"Jordan, Jim",Jim_Jordan
"Latta, Robert E",boblatta
"Johnson, Bill",RepBillJohnson
"Gibbs, Bob",RepBobGibbs
"Davidson, Warren",WarrenDavidson
"Kaptur, Marcy",RepMarcyKaptur
"Hern, Kevin",RepKevinHern
"Mullin, Markwayne",RepMullin
"Lucas, Frank",RepFrankLucas
"Cole, Tom",TomColeOK04
"Horn, Kendra",RepKendraHorn
"Bonamici, Suzanne",RepBonamici
"Walden, Greg",repgregwalden
"Blumenauer, Earl",repblumenauer
"DeFazio, Peter",RepPeterDeFazio
"Schrader, Kurt",RepSchrader
"Perry, Scott",RepScottPerry
"Smucker, Lloyd",RepLloyd
"Marino, Tom",#VALUE!
"Joyce, John",RepJohnJoyce
"Reschenthaler, Guy",GReschenthaler
"Thompson, Glenn",CongressmanGT
"Kelly, Mike",MikeKellyforPA
"Lamb, Conor",RepConorLamb
"Doyle, Michael",USRepMikeDoyle
"Fitzpatrick, Brady",RepBrianFitz
"Boyle, Brendan",CongBoyle
"Evans, Dwight",RepDwightEvans
"Dean, Madeleine",RepDean
"Scanlon, Mary-Gay",RepMGS
