"Abraham, Ralph","$857,200"
"Adams, Alma","$589,687"
"Aderholt, Robert B","$1,546,642"
"Aguilar, Pete","$2,718,737"
"Alexander, Lamar","$331,091"
"Allen, Richard W","$1,122,558"
"Amash, Justin","$628,562"
"Amodei, Mark","$1,207,363"
"Arrington, Jodey","$1,363,296"
"Babin, Brian","$1,158,533"
"Bacon, Donald John","$2,589,636"
"Balderson, Troy","$2,534,604"
"Baldwin, Tammy","$27,225,358"
"Banks, Jim","$982,042"
"Barletta, Lou","$7,284,879"
"Barr, Andy","$5,238,576"
"Barragan, Nanette","$1,540,794"
"Barrasso, John A","$5,564,375"
"Barton, Joe","$349,380"
"Bass, Karen","$882,542"
"Beatty, Joyce","$1,087,553"
"Bennet, Michael F","$754,859"
"Bera, Ami","$2,919,621"
"Bergman, John","$1,421,947"
"Beutler, Jaime Herrera","$2,648,717"
"Beyer, Don","$2,078,524"
"Biggs, Andy","$611,113"
"Bilirakis, Gus","$2,021,336"
"Bishop, Mike","$3,385,093"
"Bishop, Rob","$1,184,984"
"Bishop, Sanford","$1,119,338"
"Black, Diane","$239,963"
"Blackburn, Marsha","$14,400,856"
"Blum, Rod","$2,311,729"
"Blumenauer, Earl","$1,470,601"
"Blumenthal, Richard","$685,759"
"Blunt, Roy","$1,459,675"
"Bonamici, Suzanne","$939,392"
"Booker, Cory","$5,906,996"
"Boozman, John","$292,028"
"Bordallo, Madeleine Z","$163,165"
"Bost, Mike","$2,856,248"
"Boyle, Brendan","$1,173,413"
"Brady, Kevin","$5,213,137"
"Brady, Robert A","$267,078"
"Brat, Dave","$3,305,499"
"Brooks, Mo","$1,509,389"
"Brooks, Susan","$1,426,725"
"Brown, Anthony","$844,180"
"Brown, Sherrod","$22,504,235"
"Brownley, Julia","$2,552,122"
"Buchanan, Vernon","$2,905,819"
"Buck, Ken","$601,207"
"Bucshon, Larry","$967,433"
"Budd, Ted","$2,301,060"
"Burgess, Michael","$1,672,804"
"Burr, Richard","$112,555"
"Bustos, Cheri","$3,931,137"
"Butterfield, G K","$761,050"
"Byrne, Bradley","$1,460,040"
"Calvert, Ken","$1,547,159"
"Cantwell, Maria","$9,261,998"
"Capito, Shelley Moore","$673,044"
"Capuano, Michael E","$1,796,090"
"Carbajal, Salud","$2,732,105"
"Cardenas, Tony","$1,495,826"
"Cardin, Ben","$4,046,480"
"Carper, Tom","$3,140,705"
"Carson, Andre","$991,929"
"Carter, Buddy","$1,802,886"
"Carter, John","$1,794,742"
"Cartwright, Matt","$2,396,418"
"Casey, Bob","$17,390,494"
"Cassidy, Bill","$2,789,300"
"Castor, Kathy","$757,607"
"Castro, Joaquin","$937,005"
"Chabot, Steve","$1,949,961"
"Cheney, Liz","$867,570"
"Chu, Judy","$1,395,416"
"Cicilline, David","$1,572,793"
"Clark, Katherine","$1,223,164"
"Clarke, Yvette D","$1,081,925"
"Clay, William L Jr","$663,478"
"Cleaver, Emanuel","$1,166,214"
"Cloud, Michael","$740,441"
"Clyburn, James E","$1,989,607"
"Coffman, Mike","$3,752,316"
"Cohen, Steve","$528,508"
"Cole, Tom","$1,942,739"
"Coleman, Bonnie","$899,051"
"Collins, Chris","$1,316,753"
"Collins, Doug","$1,408,229"
"Collins, Susan M","$2,645,233"
"Comer, James","$720,746"
"Comstock, Barbara","$6,375,623"
"Conaway, Mike","$2,214,115"
"Connolly, Gerry","$2,062,538"
"Cook, Paul","$960,252"
"Coons, Chris","$757,484"
"Cooper, Jim","$522,078"
"Corker, Bob","$958,922"
"Cornyn, John","$4,420,174"
"Correa, Lou","$1,118,517"
"Costa, Jim","$1,831,442"
"Costello, Ryan","$1,342,520"
"Cotton, Tom","$2,669,933"
"Courtney, Joe","$1,145,994"
"Cramer, Kevin","$5,947,201"
"Crapo, Mike","$1,726,285"
"Crawford, Rick","$1,018,464"
"Crist, Charlie","$3,112,230"
"Crowley, Joseph","$3,219,073"
"Cruz, Ted","$34,962,008"
"Cuellar, Henry","$1,656,420"
"Culberson, John","$3,461,178"
